[ 2025-10-05 21:49:02,790 ] 19 root - INFO - Initiate the data ingestion
[ 2025-10-05 21:49:04,295 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-10-05 21:49:04,295 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-05 21:49:04,296 ] 75 root - INFO - Exporting train and test file path.
[ 2025-10-05 21:49:04,326 ] 84 root - INFO - Exported train and test file path.
[ 2025-10-05 21:49:04,327 ] 21 root - INFO - Data Initiation Completed
[ 2025-10-05 21:49:04,340 ] 25 root - INFO - Initiate the data Validation
[ 2025-10-05 21:49:04,374 ] 32 root - INFO - Required number of columns:2
[ 2025-10-05 21:49:04,375 ] 33 root - INFO - Data frame has columns:31
[ 2025-10-05 21:49:04,375 ] 32 root - INFO - Required number of columns:2
[ 2025-10-05 21:49:04,375 ] 33 root - INFO - Data frame has columns:31
[ 2025-10-05 21:49:04,455 ] 27 root - INFO - data Validation Completed
[ 2025-10-05 21:49:04,455 ] 30 root - INFO - data Transformation started
[ 2025-10-05 21:49:04,455 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-05 21:49:04,455 ] 65 root - INFO - Starting data transformation
[ 2025-10-05 21:49:04,468 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-10-05 21:49:04,468 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-10-05 21:49:04,474 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-05 21:49:04,476 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-05 21:49:04,476 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-05 21:49:04,477 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-05 21:49:04,478 ] 34 root - INFO - data Transformation completed
[ 2025-10-05 21:49:04,478 ] 36 root - INFO - Model Training started
[ 2025-10-05 21:50:48,451 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-05 21:50:48,453 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-05 21:50:48,453 ] 147 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\10_05_2025_21_49_01\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9917121487770366, precision_score=0.9909109270854373, recall_score=0.9925146672061501), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.975328947368421, precision_score=0.9737274220032841, recall_score=0.9769357495881383))
[ 2025-10-05 21:50:48,453 ] 41 root - INFO - Model Training artifact created
